Latitude,Longitude,Casos,Fecha,CCAA
37.3399964,-4.5811614,0,0,Andalucía
41.3787291,-0.7639373,0,0,Aragón
43.3133868,-5.94192,0,0,Asturias
39.613432,2.882918453,0,0,Baleares
28.2935785,-16.62144712,0,0,Canarias
43.1595664,-4.0878382,0,0,Cantabria
41.8037172,-4.7471726,0,0,Castilla y León
39.4177902,-2.6232332,0,0,Castilla La Mancha
41.8523094,1.5745043,0,0,Cataluña
39.6819591,-0.7654406,0,0,C. Valenciana
39.1748426,-6.1529891,0,0,Extremadura
42.61946,-7.863112,0,0,Galicia
40.4167047,-3.7035825,0,0,Madrid
37.9923795,-1.1305431,0,0,Murcia
42.61254875,-1.830787673,0,0,Navarra
42.9911816,-2.5543023,0,0,País Vasco
42.2814642,-2.482804975,0,0,La Rioja
35.89442195,-5.355817352,0,0,Ceuta
35.29291145,-2.950720236,0,0,Melilla
37.3399964,-4.5811614,0,1,Andalucía
41.3787291,-0.7639373,0,1,Aragón
43.3133868,-5.94192,0,1,Asturias
39.613432,2.882918453,0,1,Baleares
28.2935785,-16.62144712,0,1,Canarias
43.1595664,-4.0878382,0,1,Cantabria
41.8037172,-4.7471726,0,1,Castilla y León
39.4177902,-2.6232332,0,1,Castilla La Mancha
41.8523094,1.5745043,0,1,Cataluña
39.6819591,-0.7654406,0,1,C. Valenciana
39.1748426,-6.1529891,0,1,Extremadura
42.61946,-7.863112,0,1,Galicia
40.4167047,-3.7035825,0,1,Madrid
37.9923795,-1.1305431,0,1,Murcia
42.61254875,-1.830787673,0,1,Navarra
42.9911816,-2.5543023,0,1,País Vasco
42.2814642,-2.482804975,0,1,La Rioja
35.89442195,-5.355817352,0,1,Ceuta
35.29291145,-2.950720236,0,1,Melilla
37.3399964,-4.5811614,0,2,Andalucía
41.3787291,-0.7639373,0,2,Aragón
43.3133868,-5.94192,0,2,Asturias
39.613432,2.882918453,0,2,Baleares
28.2935785,-16.62144712,0,2,Canarias
43.1595664,-4.0878382,0,2,Cantabria
41.8037172,-4.7471726,0,2,Castilla y León
39.4177902,-2.6232332,0,2,Castilla La Mancha
41.8523094,1.5745043,0,2,Cataluña
39.6819591,-0.7654406,0,2,C. Valenciana
39.1748426,-6.1529891,0,2,Extremadura
42.61946,-7.863112,0,2,Galicia
40.4167047,-3.7035825,0,2,Madrid
37.9923795,-1.1305431,0,2,Murcia
42.61254875,-1.830787673,0,2,Navarra
42.9911816,-2.5543023,0,2,País Vasco
42.2814642,-2.482804975,0,2,La Rioja
35.89442195,-5.355817352,0,2,Ceuta
35.29291145,-2.950720236,0,2,Melilla
37.3399964,-4.5811614,0,3,Andalucía
41.3787291,-0.7639373,0,3,Aragón
43.3133868,-5.94192,0,3,Asturias
39.613432,2.882918453,0,3,Baleares
28.2935785,-16.62144712,0,3,Canarias
43.1595664,-4.0878382,0,3,Cantabria
41.8037172,-4.7471726,0,3,Castilla y León
39.4177902,-2.6232332,0,3,Castilla La Mancha
41.8523094,1.5745043,0,3,Cataluña
39.6819591,-0.7654406,0,3,C. Valenciana
39.1748426,-6.1529891,0,3,Extremadura
42.61946,-7.863112,0,3,Galicia
40.4167047,-3.7035825,0,3,Madrid
37.9923795,-1.1305431,0,3,Murcia
42.61254875,-1.830787673,0,3,Navarra
42.9911816,-2.5543023,0,3,País Vasco
42.2814642,-2.482804975,0,3,La Rioja
35.89442195,-5.355817352,0,3,Ceuta
35.29291145,-2.950720236,0,3,Melilla
37.3399964,-4.5811614,0,4,Andalucía
41.3787291,-0.7639373,0,4,Aragón
43.3133868,-5.94192,0,4,Asturias
39.613432,2.882918453,0,4,Baleares
28.2935785,-16.62144712,0,4,Canarias
43.1595664,-4.0878382,0,4,Cantabria
41.8037172,-4.7471726,0,4,Castilla y León
39.4177902,-2.6232332,0,4,Castilla La Mancha
41.8523094,1.5745043,0,4,Cataluña
39.6819591,-0.7654406,0,4,C. Valenciana
39.1748426,-6.1529891,0,4,Extremadura
42.61946,-7.863112,0,4,Galicia
40.4167047,-3.7035825,0,4,Madrid
37.9923795,-1.1305431,0,4,Murcia
42.61254875,-1.830787673,0,4,Navarra
42.9911816,-2.5543023,0,4,País Vasco
42.2814642,-2.482804975,0,4,La Rioja
35.89442195,-5.355817352,0,4,Ceuta
35.29291145,-2.950720236,0,4,Melilla
37.3399964,-4.5811614,0,5,Andalucía
41.3787291,-0.7639373,0,5,Aragón
43.3133868,-5.94192,0,5,Asturias
39.613432,2.882918453,0,5,Baleares
28.2935785,-16.62144712,0,5,Canarias
43.1595664,-4.0878382,0,5,Cantabria
41.8037172,-4.7471726,0,5,Castilla y León
39.4177902,-2.6232332,0,5,Castilla La Mancha
41.8523094,1.5745043,0,5,Cataluña
39.6819591,-0.7654406,0,5,C. Valenciana
39.1748426,-6.1529891,0,5,Extremadura
42.61946,-7.863112,0,5,Galicia
40.4167047,-3.7035825,0,5,Madrid
37.9923795,-1.1305431,0,5,Murcia
42.61254875,-1.830787673,0,5,Navarra
42.9911816,-2.5543023,0,5,País Vasco
42.2814642,-2.482804975,0,5,La Rioja
35.89442195,-5.355817352,0,5,Ceuta
35.29291145,-2.950720236,0,5,Melilla
37.3399964,-4.5811614,0,6,Andalucía
41.3787291,-0.7639373,0,6,Aragón
43.3133868,-5.94192,0,6,Asturias
39.613432,2.882918453,0,6,Baleares
28.2935785,-16.62144712,0,6,Canarias
43.1595664,-4.0878382,0,6,Cantabria
41.8037172,-4.7471726,0,6,Castilla y León
39.4177902,-2.6232332,0,6,Castilla La Mancha
41.8523094,1.5745043,0,6,Cataluña
39.6819591,-0.7654406,0,6,C. Valenciana
39.1748426,-6.1529891,0,6,Extremadura
42.61946,-7.863112,0,6,Galicia
40.4167047,-3.7035825,0,6,Madrid
37.9923795,-1.1305431,0,6,Murcia
42.61254875,-1.830787673,0,6,Navarra
42.9911816,-2.5543023,0,6,País Vasco
42.2814642,-2.482804975,0,6,La Rioja
35.89442195,-5.355817352,0,6,Ceuta
35.29291145,-2.950720236,0,6,Melilla
37.3399964,-4.5811614,0,7,Andalucía
41.3787291,-0.7639373,0,7,Aragón
43.3133868,-5.94192,0,7,Asturias
39.613432,2.882918453,0,7,Baleares
28.2935785,-16.62144712,0,7,Canarias
43.1595664,-4.0878382,0,7,Cantabria
41.8037172,-4.7471726,0,7,Castilla y León
39.4177902,-2.6232332,0,7,Castilla La Mancha
41.8523094,1.5745043,0,7,Cataluña
39.6819591,-0.7654406,0,7,C. Valenciana
39.1748426,-6.1529891,0,7,Extremadura
42.61946,-7.863112,0,7,Galicia
40.4167047,-3.7035825,0,7,Madrid
37.9923795,-1.1305431,0,7,Murcia
42.61254875,-1.830787673,0,7,Navarra
42.9911816,-2.5543023,0,7,País Vasco
42.2814642,-2.482804975,0,7,La Rioja
35.89442195,-5.355817352,0,7,Ceuta
35.29291145,-2.950720236,0,7,Melilla
37.3399964,-4.5811614,0,8,Andalucía
41.3787291,-0.7639373,0,8,Aragón
43.3133868,-5.94192,0,8,Asturias
39.613432,2.882918453,0,8,Baleares
28.2935785,-16.62144712,0,8,Canarias
43.1595664,-4.0878382,0,8,Cantabria
41.8037172,-4.7471726,0,8,Castilla y León
39.4177902,-2.6232332,0,8,Castilla La Mancha
41.8523094,1.5745043,0,8,Cataluña
39.6819591,-0.7654406,0,8,C. Valenciana
39.1748426,-6.1529891,0,8,Extremadura
42.61946,-7.863112,0,8,Galicia
40.4167047,-3.7035825,0,8,Madrid
37.9923795,-1.1305431,0,8,Murcia
42.61254875,-1.830787673,0,8,Navarra
42.9911816,-2.5543023,0,8,País Vasco
42.2814642,-2.482804975,1,8,La Rioja
35.89442195,-5.355817352,0,8,Ceuta
35.29291145,-2.950720236,0,8,Melilla
37.3399964,-4.5811614,0,9,Andalucía
41.3787291,-0.7639373,0,9,Aragón
43.3133868,-5.94192,0,9,Asturias
39.613432,2.882918453,0,9,Baleares
28.2935785,-16.62144712,0,9,Canarias
43.1595664,-4.0878382,0,9,Cantabria
41.8037172,-4.7471726,0,9,Castilla y León
39.4177902,-2.6232332,0,9,Castilla La Mancha
41.8523094,1.5745043,1,9,Cataluña
39.6819591,-0.7654406,0,9,C. Valenciana
39.1748426,-6.1529891,0,9,Extremadura
42.61946,-7.863112,0,9,Galicia
40.4167047,-3.7035825,0,9,Madrid
37.9923795,-1.1305431,0,9,Murcia
42.61254875,-1.830787673,0,9,Navarra
42.9911816,-2.5543023,0,9,País Vasco
42.2814642,-2.482804975,1,9,La Rioja
35.89442195,-5.355817352,0,9,Ceuta
35.29291145,-2.950720236,0,9,Melilla
37.3399964,-4.5811614,0,10,Andalucía
41.3787291,-0.7639373,0,10,Aragón
43.3133868,-5.94192,0,10,Asturias
39.613432,2.882918453,0,10,Baleares
28.2935785,-16.62144712,0,10,Canarias
43.1595664,-4.0878382,0,10,Cantabria
41.8037172,-4.7471726,0,10,Castilla y León
39.4177902,-2.6232332,0,10,Castilla La Mancha
41.8523094,1.5745043,1,10,Cataluña
39.6819591,-0.7654406,0,10,C. Valenciana
39.1748426,-6.1529891,0,10,Extremadura
42.61946,-7.863112,0,10,Galicia
40.4167047,-3.7035825,0,10,Madrid
37.9923795,-1.1305431,0,10,Murcia
42.61254875,-1.830787673,0,10,Navarra
42.9911816,-2.5543023,0,10,País Vasco
42.2814642,-2.482804975,1,10,La Rioja
35.89442195,-5.355817352,0,10,Ceuta
35.29291145,-2.950720236,0,10,Melilla
37.3399964,-4.5811614,0,11,Andalucía
41.3787291,-0.7639373,0,11,Aragón
43.3133868,-5.94192,0,11,Asturias
39.613432,2.882918453,0,11,Baleares
28.2935785,-16.62144712,0,11,Canarias
43.1595664,-4.0878382,0,11,Cantabria
41.8037172,-4.7471726,0,11,Castilla y León
39.4177902,-2.6232332,0,11,Castilla La Mancha
41.8523094,1.5745043,1,11,Cataluña
39.6819591,-0.7654406,0,11,C. Valenciana
39.1748426,-6.1529891,0,11,Extremadura
42.61946,-7.863112,0,11,Galicia
40.4167047,-3.7035825,0,11,Madrid
37.9923795,-1.1305431,1,11,Murcia
42.61254875,-1.830787673,0,11,Navarra
42.9911816,-2.5543023,0,11,País Vasco
42.2814642,-2.482804975,1,11,La Rioja
35.89442195,-5.355817352,0,11,Ceuta
35.29291145,-2.950720236,0,11,Melilla
37.3399964,-4.5811614,0,12,Andalucía
41.3787291,-0.7639373,0,12,Aragón
43.3133868,-5.94192,0,12,Asturias
39.613432,2.882918453,0,12,Baleares
28.2935785,-16.62144712,0,12,Canarias
43.1595664,-4.0878382,0,12,Cantabria
41.8037172,-4.7471726,0,12,Castilla y León
39.4177902,-2.6232332,0,12,Castilla La Mancha
41.8523094,1.5745043,1,12,Cataluña
39.6819591,-0.7654406,0,12,C. Valenciana
39.1748426,-6.1529891,0,12,Extremadura
42.61946,-7.863112,0,12,Galicia
40.4167047,-3.7035825,0,12,Madrid
37.9923795,-1.1305431,1,12,Murcia
42.61254875,-1.830787673,0,12,Navarra
42.9911816,-2.5543023,0,12,País Vasco
42.2814642,-2.482804975,1,12,La Rioja
35.89442195,-5.355817352,0,12,Ceuta
35.29291145,-2.950720236,0,12,Melilla
37.3399964,-4.5811614,0,13,Andalucía
41.3787291,-0.7639373,0,13,Aragón
43.3133868,-5.94192,0,13,Asturias
39.613432,2.882918453,0,13,Baleares
28.2935785,-16.62144712,0,13,Canarias
43.1595664,-4.0878382,0,13,Cantabria
41.8037172,-4.7471726,0,13,Castilla y León
39.4177902,-2.6232332,0,13,Castilla La Mancha
41.8523094,1.5745043,1,13,Cataluña
39.6819591,-0.7654406,0,13,C. Valenciana
39.1748426,-6.1529891,0,13,Extremadura
42.61946,-7.863112,0,13,Galicia
40.4167047,-3.7035825,0,13,Madrid
37.9923795,-1.1305431,1,13,Murcia
42.61254875,-1.830787673,0,13,Navarra
42.9911816,-2.5543023,0,13,País Vasco
42.2814642,-2.482804975,1,13,La Rioja
35.89442195,-5.355817352,0,13,Ceuta
35.29291145,-2.950720236,0,13,Melilla
37.3399964,-4.5811614,0,14,Andalucía
41.3787291,-0.7639373,0,14,Aragón
43.3133868,-5.94192,0,14,Asturias
39.613432,2.882918453,0,14,Baleares
28.2935785,-16.62144712,0,14,Canarias
43.1595664,-4.0878382,0,14,Cantabria
41.8037172,-4.7471726,0,14,Castilla y León
39.4177902,-2.6232332,0,14,Castilla La Mancha
41.8523094,1.5745043,1,14,Cataluña
39.6819591,-0.7654406,0,14,C. Valenciana
39.1748426,-6.1529891,0,14,Extremadura
42.61946,-7.863112,0,14,Galicia
40.4167047,-3.7035825,0,14,Madrid
37.9923795,-1.1305431,1,14,Murcia
42.61254875,-1.830787673,0,14,Navarra
42.9911816,-2.5543023,0,14,País Vasco
42.2814642,-2.482804975,1,14,La Rioja
35.89442195,-5.355817352,0,14,Ceuta
35.29291145,-2.950720236,0,14,Melilla
37.3399964,-4.5811614,0,15,Andalucía
41.3787291,-0.7639373,0,15,Aragón
43.3133868,-5.94192,0,15,Asturias
39.613432,2.882918453,0,15,Baleares
28.2935785,-16.62144712,0,15,Canarias
43.1595664,-4.0878382,0,15,Cantabria
41.8037172,-4.7471726,0,15,Castilla y León
39.4177902,-2.6232332,0,15,Castilla La Mancha
41.8523094,1.5745043,1,15,Cataluña
39.6819591,-0.7654406,0,15,C. Valenciana
39.1748426,-6.1529891,0,15,Extremadura
42.61946,-7.863112,0,15,Galicia
40.4167047,-3.7035825,0,15,Madrid
37.9923795,-1.1305431,1,15,Murcia
42.61254875,-1.830787673,0,15,Navarra
42.9911816,-2.5543023,0,15,País Vasco
42.2814642,-2.482804975,1,15,La Rioja
35.89442195,-5.355817352,0,15,Ceuta
35.29291145,-2.950720236,0,15,Melilla
37.3399964,-4.5811614,0,16,Andalucía
41.3787291,-0.7639373,0,16,Aragón
43.3133868,-5.94192,0,16,Asturias
39.613432,2.882918453,0,16,Baleares
28.2935785,-16.62144712,0,16,Canarias
43.1595664,-4.0878382,0,16,Cantabria
41.8037172,-4.7471726,0,16,Castilla y León
39.4177902,-2.6232332,0,16,Castilla La Mancha
41.8523094,1.5745043,1,16,Cataluña
39.6819591,-0.7654406,0,16,C. Valenciana
39.1748426,-6.1529891,0,16,Extremadura
42.61946,-7.863112,0,16,Galicia
40.4167047,-3.7035825,0,16,Madrid
37.9923795,-1.1305431,1,16,Murcia
42.61254875,-1.830787673,0,16,Navarra
42.9911816,-2.5543023,0,16,País Vasco
42.2814642,-2.482804975,1,16,La Rioja
35.89442195,-5.355817352,0,16,Ceuta
35.29291145,-2.950720236,0,16,Melilla
37.3399964,-4.5811614,0,17,Andalucía
41.3787291,-0.7639373,0,17,Aragón
43.3133868,-5.94192,0,17,Asturias
39.613432,2.882918453,0,17,Baleares
28.2935785,-16.62144712,0,17,Canarias
43.1595664,-4.0878382,0,17,Cantabria
41.8037172,-4.7471726,0,17,Castilla y León
39.4177902,-2.6232332,0,17,Castilla La Mancha
41.8523094,1.5745043,1,17,Cataluña
39.6819591,-0.7654406,0,17,C. Valenciana
39.1748426,-6.1529891,0,17,Extremadura
42.61946,-7.863112,0,17,Galicia
40.4167047,-3.7035825,1,17,Madrid
37.9923795,-1.1305431,1,17,Murcia
42.61254875,-1.830787673,0,17,Navarra
42.9911816,-2.5543023,0,17,País Vasco
42.2814642,-2.482804975,1,17,La Rioja
35.89442195,-5.355817352,0,17,Ceuta
35.29291145,-2.950720236,0,17,Melilla
37.3399964,-4.5811614,0,18,Andalucía
41.3787291,-0.7639373,0,18,Aragón
43.3133868,-5.94192,0,18,Asturias
39.613432,2.882918453,0,18,Baleares
28.2935785,-16.62144712,0,18,Canarias
43.1595664,-4.0878382,0,18,Cantabria
41.8037172,-4.7471726,0,18,Castilla y León
39.4177902,-2.6232332,0,18,Castilla La Mancha
41.8523094,1.5745043,1,18,Cataluña
39.6819591,-0.7654406,0,18,C. Valenciana
39.1748426,-6.1529891,0,18,Extremadura
42.61946,-7.863112,0,18,Galicia
