Latitude,Longitude,Fecha,Fallecidos,CCAA
37.33999640,-4.5811614,0,0,Andalucía
41.37872910,-0.7639373,0,0,Aragón
43.31338680,-5.9419200,0,0,Asturias
39.61343200,2.8829185,0,0,Baleares
28.29357850,-16.6214471,0,0,Canarias
43.15956640,-4.0878382,0,0,Cantabria
41.80371720,-4.7471726,0,0,Castilla y León
39.41779020,-2.6232332,0,0,Castilla La Mancha
41.85230940,1.5745043,0,0,Cataluña
39.68195910,-0.7654406,0,0,C. Valenciana
39.17484260,-6.1529891,0,0,Extremadura
42.61946000,-7.8631120,0,0,Galicia
40.41670470,-3.7035825,0,0,Madrid
37.99237950,-1.1305431,0,0,Murcia
42.61254875,-1.8307877,0,0,Navarra
42.99118160,-2.5543023,0,0,País Vasco
42.28146420,-2.4828050,0,0,La Rioja
35.89442195,-5.3558174,0,0,Ceuta
35.29291145,-2.9507202,0,0,Melilla
37.33999640,-4.5811614,1,0,Andalucía
41.37872910,-0.7639373,1,0,Aragón
43.31338680,-5.9419200,1,0,Asturias
39.61343200,2.8829185,1,0,Baleares
28.29357850,-16.6214471,1,0,Canarias
43.15956640,-4.0878382,1,0,Cantabria
41.80371720,-4.7471726,1,0,Castilla y León
39.41779020,-2.6232332,1,0,Castilla La Mancha
41.85230940,1.5745043,1,0,Cataluña
39.68195910,-0.7654406,1,0,C. Valenciana
39.17484260,-6.1529891,1,0,Extremadura
42.61946000,-7.8631120,1,0,Galicia
40.41670470,-3.7035825,1,0,Madrid
37.99237950,-1.1305431,1,0,Murcia
42.61254875,-1.8307877,1,0,Navarra
42.99118160,-2.5543023,1,0,País Vasco
42.28146420,-2.4828050,1,0,La Rioja
35.89442195,-5.3558174,1,0,Ceuta
35.29291145,-2.9507202,1,0,Melilla
37.33999640,-4.5811614,2,0,Andalucía
41.37872910,-0.7639373,2,0,Aragón
43.31338680,-5.9419200,2,0,Asturias
39.61343200,2.8829185,2,0,Baleares
28.29357850,-16.6214471,2,0,Canarias
43.15956640,-4.0878382,2,0,Cantabria
41.80371720,-4.7471726,2,0,Castilla y León
39.41779020,-2.6232332,2,0,Castilla La Mancha
41.85230940,1.5745043,2,0,Cataluña
39.68195910,-0.7654406,2,0,C. Valenciana
39.17484260,-6.1529891,2,0,Extremadura
42.61946000,-7.8631120,2,0,Galicia
40.41670470,-3.7035825,2,0,Madrid
37.99237950,-1.1305431,2,0,Murcia
42.61254875,-1.8307877,2,0,Navarra
42.99118160,-2.5543023,2,0,País Vasco
42.28146420,-2.4828050,2,0,La Rioja
35.89442195,-5.3558174,2,0,Ceuta
35.29291145,-2.9507202,2,0,Melilla
37.33999640,-4.5811614,3,0,Andalucía
41.37872910,-0.7639373,3,0,Aragón
43.31338680,-5.9419200,3,0,Asturias
39.61343200,2.8829185,3,0,Baleares
28.29357850,-16.6214471,3,0,Canarias
43.15956640,-4.0878382,3,0,Cantabria
41.80371720,-4.7471726,3,0,Castilla y León
39.41779020,-2.6232332,3,0,Castilla La Mancha
41.85230940,1.5745043,3,0,Cataluña
39.68195910,-0.7654406,3,0,C. Valenciana
39.17484260,-6.1529891,3,0,Extremadura
42.61946000,-7.8631120,3,0,Galicia
40.41670470,-3.7035825,3,0,Madrid
37.99237950,-1.1305431,3,0,Murcia
42.61254875,-1.8307877,3,0,Navarra
42.99118160,-2.5543023,3,0,País Vasco
42.28146420,-2.4828050,3,0,La Rioja
35.89442195,-5.3558174,3,0,Ceuta
35.29291145,-2.9507202,3,0,Melilla
37.33999640,-4.5811614,4,0,Andalucía
41.37872910,-0.7639373,4,0,Aragón
43.31338680,-5.9419200,4,0,Asturias
39.61343200,2.8829185,4,0,Baleares
28.29357850,-16.6214471,4,0,Canarias
43.15956640,-4.0878382,4,0,Cantabria
41.80371720,-4.7471726,4,0,Castilla y León
39.41779020,-2.6232332,4,0,Castilla La Mancha
41.85230940,1.5745043,4,0,Cataluña
39.68195910,-0.7654406,4,0,C. Valenciana
39.17484260,-6.1529891,4,0,Extremadura
42.61946000,-7.8631120,4,0,Galicia
40.41670470,-3.7035825,4,0,Madrid
37.99237950,-1.1305431,4,0,Murcia
42.61254875,-1.8307877,4,0,Navarra
42.99118160,-2.5543023,4,0,País Vasco
42.28146420,-2.4828050,4,0,La Rioja
35.89442195,-5.3558174,4,0,Ceuta
35.29291145,-2.9507202,4,0,Melilla
37.33999640,-4.5811614,5,0,Andalucía
41.37872910,-0.7639373,5,0,Aragón
43.31338680,-5.9419200,5,0,Asturias
39.61343200,2.8829185,5,0,Baleares
28.29357850,-16.6214471,5,0,Canarias
43.15956640,-4.0878382,5,0,Cantabria
41.80371720,-4.7471726,5,0,Castilla y León
39.41779020,-2.6232332,5,0,Castilla La Mancha
41.85230940,1.5745043,5,0,Cataluña
39.68195910,-0.7654406,5,0,C. Valenciana
39.17484260,-6.1529891,5,0,Extremadura
42.61946000,-7.8631120,5,0,Galicia
40.41670470,-3.7035825,5,0,Madrid
37.99237950,-1.1305431,5,0,Murcia
42.61254875,-1.8307877,5,0,Navarra
42.99118160,-2.5543023,5,0,País Vasco
42.28146420,-2.4828050,5,0,La Rioja
35.89442195,-5.3558174,5,0,Ceuta
35.29291145,-2.9507202,5,0,Melilla
37.33999640,-4.5811614,6,0,Andalucía
41.37872910,-0.7639373,6,0,Aragón
43.31338680,-5.9419200,6,0,Asturias
39.61343200,2.8829185,6,0,Baleares
28.29357850,-16.6214471,6,0,Canarias
43.15956640,-4.0878382,6,0,Cantabria
41.80371720,-4.7471726,6,0,Castilla y León
39.41779020,-2.6232332,6,0,Castilla La Mancha
41.85230940,1.5745043,6,0,Cataluña
39.68195910,-0.7654406,6,0,C. Valenciana
39.17484260,-6.1529891,6,0,Extremadura
42.61946000,-7.8631120,6,0,Galicia
40.41670470,-3.7035825,6,0,Madrid
37.99237950,-1.1305431,6,0,Murcia
42.61254875,-1.8307877,6,0,Navarra
42.99118160,-2.5543023,6,0,País Vasco
42.28146420,-2.4828050,6,0,La Rioja
35.89442195,-5.3558174,6,0,Ceuta
35.29291145,-2.9507202,6,0,Melilla
37.33999640,-4.5811614,7,0,Andalucía
41.37872910,-0.7639373,7,0,Aragón
43.31338680,-5.9419200,7,0,Asturias
39.61343200,2.8829185,7,0,Baleares
28.29357850,-16.6214471,7,0,Canarias
43.15956640,-4.0878382,7,0,Cantabria
41.80371720,-4.7471726,7,0,Castilla y León
39.41779020,-2.6232332,7,0,Castilla La Mancha
41.85230940,1.5745043,7,0,Cataluña
39.68195910,-0.7654406,7,0,C. Valenciana
39.17484260,-6.1529891,7,0,Extremadura
42.61946000,-7.8631120,7,0,Galicia
40.41670470,-3.7035825,7,0,Madrid
37.99237950,-1.1305431,7,0,Murcia
42.61254875,-1.8307877,7,0,Navarra
42.99118160,-2.5543023,7,0,País Vasco
42.28146420,-2.4828050,7,0,La Rioja
35.89442195,-5.3558174,7,0,Ceuta
35.29291145,-2.9507202,7,0,Melilla
37.33999640,-4.5811614,8,0,Andalucía
41.37872910,-0.7639373,8,0,Aragón
43.31338680,-5.9419200,8,0,Asturias
39.61343200,2.8829185,8,0,Baleares
28.29357850,-16.6214471,8,0,Canarias
43.15956640,-4.0878382,8,0,Cantabria
41.80371720,-4.7471726,8,0,Castilla y León
39.41779020,-2.6232332,8,0,Castilla La Mancha
41.85230940,1.5745043,8,0,Cataluña
39.68195910,-0.7654406,8,0,C. Valenciana
39.17484260,-6.1529891,8,0,Extremadura
42.61946000,-7.8631120,8,0,Galicia
40.41670470,-3.7035825,8,0,Madrid
37.99237950,-1.1305431,8,0,Murcia
42.61254875,-1.8307877,8,0,Navarra
42.99118160,-2.5543023,8,0,País Vasco
42.28146420,-2.4828050,8,0,La Rioja
35.89442195,-5.3558174,8,0,Ceuta
35.29291145,-2.9507202,8,0,Melilla
37.33999640,-4.5811614,9,0,Andalucía
41.37872910,-0.7639373,9,0,Aragón
43.31338680,-5.9419200,9,0,Asturias
39.61343200,2.8829185,9,0,Baleares
